股票代码,股票简称,原始行业,映射行业,输出路径
000705,浙江震元,医药商业,医药商业,/home/peanut/stock_key_info/all_stocks_20260606/医药/医药商业/浙江震元.csv
000707,双环科技,化学原料,化学原料,/home/peanut/stock_key_info/all_stocks_20260606/化工行业/化学原料/双环科技.csv
000708,中信特钢,特钢Ⅱ,钢铁行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/钢铁行业/中信特钢.csv
000709,河钢股份,普钢,钢铁行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/钢铁行业/河钢股份.csv
000710,贝瑞基因,医疗服务,医疗服务,/home/peanut/stock_key_info/all_stocks_20260606/医药/医疗服务/贝瑞基因.csv
000712,锦龙股份,证券Ⅱ,证券,/home/peanut/stock_key_info/all_stocks_20260606/金融/证券/锦龙股份.csv
000713,国投丰乐,种植业,农牧饲渔,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/农牧饲渔/国投丰乐.csv
000715,中兴商业,一般零售,商业百货,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/商业百货/中兴商业.csv
000716,黑芝麻,休闲食品,食品饮料,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/食品饮料/黑芝麻.csv
000717,中南股份,普钢,钢铁行业,/home/peanut/stock_key_info/all_stocks_20260606/能源/钢铁行业/中南股份.csv
000718,苏宁环球,房地产开发,房地产开发,/home/peanut/stock_key_info/all_stocks_20260606/旧基建/房地产开发/苏宁环球.csv
000719,中原传媒,出版,文化传媒,/home/peanut/stock_key_info/all_stocks_20260606/衣食住行/文化传媒/中原传媒.csv
000720,新能泰山,电网设备,电网设备,/home/peanut/stock_key_info/all_stocks_20260606/能源/电网设备/新能泰山.csv
